artistname,trackname,playlistname
Maroon 5,Sugar,Chill Vibes
Eminem,Lose Yourself,Chill Vibes
Ariana Grande,7 Rings,Chill Vibes
Coldplay,Viva La Vida,Chill Vibes
Sam Smith,Stay With Me,Chill Vibes
Ariana Grande,7 Rings,Chill Vibes
The Weeknd,Blinding Lights,Chill Vibes
Adele,Hello,Chill Vibes
Taylor Swift,Love Story,Chill Vibes
Rihanna,Diamonds,Chill Vibes
Beyoncé,Halo,Chill Vibes
Harry Styles,Watermelon Sugar,Chill Vibes
Halsey,Without Me,Chill Vibes
Drake,God's Plan,Chill Vibes
Sam Smith,Stay With Me,Chill Vibes
Adele,Hello,Chill Vibes
Maroon 5,Sugar,Chill Vibes
Taylor Swift,Love Story,Chill Vibes
The Weeknd,Blinding Lights,Chill Vibes
Sam Smith,Stay With Me,Chill Vibes
Eminem,Lose Yourself,Chill Vibes
Beyoncé,Halo,Chill Vibes
Taylor Swift,Love Story,Chill Vibes
Billie Eilish,Bad Guy,Chill Vibes
Imagine Dragons,Radioactive,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
Sam Smith,Stay With Me,Chill Vibes
Shawn Mendes,Senorita,Chill Vibes
Eminem,Lose Yourself,Chill Vibes
Coldplay,Viva La Vida,Chill Vibes
Billie Eilish,Bad Guy,Chill Vibes
Eminem,Lose Yourself,Chill Vibes
Olivia Rodrigo,Drivers License,Chill Vibes
Beyoncé,Halo,Chill Vibes
Ed Sheeran,Shape of You,Chill Vibes
Khalid,Talk,Chill Vibes
Kanye West,Stronger,Chill Vibes
Dua Lipa,Levitating,Chill Vibes
Olivia Rodrigo,Drivers License,Chill Vibes
Khalid,Talk,Chill Vibes
The Weeknd,Blinding Lights,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
Adele,Hello,Chill Vibes
Eminem,Lose Yourself,Chill Vibes
Beyoncé,Halo,Chill Vibes
Billie Eilish,Bad Guy,Chill Vibes
Khalid,Talk,Chill Vibes
Ed Sheeran,Shape of You,Chill Vibes
Taylor Swift,Love Story,Chill Vibes
Imagine Dragons,Radioactive,Chill Vibes
Olivia Rodrigo,Drivers License,Chill Vibes
Justin Bieber,Peaches,Chill Vibes
Ariana Grande,7 Rings,Chill Vibes
Lady Gaga,Poker Face,Chill Vibes
Eminem,Lose Yourself,Chill Vibes
The Weeknd,Blinding Lights,Chill Vibes
Halsey,Without Me,Chill Vibes
Justin Bieber,Peaches,Chill Vibes
Post Malone,Circles,Chill Vibes
Shawn Mendes,Senorita,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
Sam Smith,Stay With Me,Chill Vibes
Khalid,Talk,Chill Vibes
Ed Sheeran,Shape of You,Chill Vibes
Halsey,Without Me,Chill Vibes
Ariana Grande,7 Rings,Chill Vibes
Billie Eilish,Bad Guy,Chill Vibes
Post Malone,Circles,Chill Vibes
Taylor Swift,Love Story,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
Kanye West,Stronger,Chill Vibes
Ed Sheeran,Shape of You,Chill Vibes
Ariana Grande,7 Rings,Chill Vibes
Harry Styles,Watermelon Sugar,Chill Vibes
Rihanna,Diamonds,Chill Vibes
Eminem,Lose Yourself,Chill Vibes
Adele,Hello,Chill Vibes
Drake,God's Plan,Chill Vibes
Kanye West,Stronger,Chill Vibes
Billie Eilish,Bad Guy,Chill Vibes
Imagine Dragons,Radioactive,Chill Vibes
Beyoncé,Halo,Chill Vibes
Halsey,Without Me,Chill Vibes
Kanye West,Stronger,Chill Vibes
Billie Eilish,Bad Guy,Chill Vibes
Post Malone,Circles,Chill Vibes
Post Malone,Circles,Chill Vibes
Bruno Mars,24K Magic,Chill Vibes
Billie Eilish,Bad Guy,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
Shawn Mendes,Senorita,Chill Vibes
Post Malone,Circles,Chill Vibes
Bruno Mars,24K Magic,Chill Vibes
Adele,Hello,Chill Vibes
The Weeknd,Blinding Lights,Chill Vibes
Dua Lipa,Levitating,Chill Vibes
Coldplay,Viva La Vida,Chill Vibes
Kanye West,Stronger,Chill Vibes
Taylor Swift,Love Story,Chill Vibes
Khalid,Talk,Chill Vibes
Coldplay,Viva La Vida,Chill Vibes
Ed Sheeran,Shape of You,Chill Vibes
Rihanna,Diamonds,Chill Vibes
Khalid,Talk,Chill Vibes
Drake,God's Plan,Chill Vibes
Post Malone,Circles,Chill Vibes
Dua Lipa,Levitating,Chill Vibes
Taylor Swift,Love Story,Chill Vibes
Rihanna,Diamonds,Chill Vibes
Shawn Mendes,Senorita,Chill Vibes
Harry Styles,Watermelon Sugar,Chill Vibes
Ariana Grande,7 Rings,Chill Vibes
Khalid,Talk,Chill Vibes
Rihanna,Diamonds,Chill Vibes
Maroon 5,Sugar,Chill Vibes
Kanye West,Stronger,Chill Vibes
Billie Eilish,Bad Guy,Chill Vibes
Post Malone,Circles,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
Dua Lipa,Levitating,Chill Vibes
Ariana Grande,7 Rings,Chill Vibes
Eminem,Lose Yourself,Chill Vibes
Beyoncé,Halo,Chill Vibes
Post Malone,Circles,Chill Vibes
Lady Gaga,Poker Face,Chill Vibes
Dua Lipa,Levitating,Chill Vibes
Shawn Mendes,Senorita,Chill Vibes
Shawn Mendes,Senorita,Chill Vibes
Ariana Grande,7 Rings,Chill Vibes
Khalid,Talk,Chill Vibes
Justin Bieber,Peaches,Chill Vibes
Lady Gaga,Poker Face,Chill Vibes
Bruno Mars,24K Magic,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
Shawn Mendes,Senorita,Chill Vibes
Khalid,Talk,Chill Vibes
Rihanna,Diamonds,Chill Vibes
Imagine Dragons,Radioactive,Chill Vibes
Imagine Dragons,Radioactive,Chill Vibes
The Weeknd,Blinding Lights,Chill Vibes
Drake,God's Plan,Chill Vibes
Dua Lipa,Levitating,Chill Vibes
Khalid,Talk,Chill Vibes
Ed Sheeran,Shape of You,Chill Vibes
Olivia Rodrigo,Drivers License,Chill Vibes
Coldplay,Viva La Vida,Chill Vibes
Maroon 5,Sugar,Chill Vibes
Khalid,Talk,Chill Vibes
Justin Bieber,Peaches,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
Beyoncé,Halo,Chill Vibes
Halsey,Without Me,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
Eminem,Lose Yourself,Chill Vibes
Imagine Dragons,Radioactive,Chill Vibes
Olivia Rodrigo,Drivers License,Chill Vibes
Khalid,Talk,Chill Vibes
Lady Gaga,Poker Face,Chill Vibes
Harry Styles,Watermelon Sugar,Chill Vibes
Ariana Grande,7 Rings,Chill Vibes
Ariana Grande,7 Rings,Chill Vibes
Rihanna,Diamonds,Chill Vibes
Lil Nas X,Industry Baby,Chill Vibes
